timestamp,shift,machine_id,downtime_minutes,downtime_type,downtime_reason,total_output,defect_units,defect_rate,defect_type,avg_temperature,avg_vibration,energy_consumption
2025-03-01 07:00,Pagi,M01,0,Tidak ada,-,529,4,0.76,Finishing,44.7,0.025,120
2025-03-01 15:00,Siang,M01,0,Tidak ada,-,474,3,0.63,Finishing,47.2,0.027,110
2025-03-01 23:00,Malam,M01,48,Teknis,Suhu tinggi,350,24,6.86,Retak,62.9,0.099,110
2025-03-02 07:00,Pagi,M01,0,Tidak ada,-,510,4,0.78,Finishing,45.5,0.026,112
2025-03-02 15:00,Siang,M01,0,Tidak ada,-,460,9,1.96,Dimensi,46.7,0.029,110
2025-03-02 23:00,Malam,M01,43,Teknis,Bearing panas,350,17,4.86,Retak,61.2,0.096,110
2025-03-03 07:00,Pagi,M01,0,Tidak ada,-,536,2,0.37,Retak,44.6,0.024,119
2025-03-03 15:00,Siang,M01,0,Tidak ada,-,507,6,1.18,Retak,46.0,0.027,114
2025-03-03 23:00,Malam,M01,30,Teknis,Bearing panas,355,19,5.35,Retak,61.8,0.082,110
2025-03-04 07:00,Pagi,M01,0,Tidak ada,-,539,5,0.93,Dimensi,46.0,0.025,120
2025-03-04 15:00,Siang,M01,0,Tidak ada,-,485,3,0.62,Finishing,45.8,0.025,110
2025-03-04 23:00,Malam,M01,36,Teknis,Bearing panas,355,20,5.63,Retak,62.0,0.086,110
2025-03-05 07:00,Pagi,M01,0,Tidak ada,-,534,4,0.75,Dimensi,45.3,0.025,118
2025-03-05 15:00,Siang,M01,12,Operasional,Setup lama,480,3,0.62,Finishing,45.5,0.03,110
2025-03-05 23:00,Malam,M01,25,Teknis,Bearing panas,350,20,5.71,Retak,60.3,0.072,110
2025-03-06 07:00,Pagi,M01,0,Tidak ada,-,536,6,1.12,Retak,44.8,0.024,120
2025-03-06 15:00,Siang,M01,9,Operasional,Setup ulang,465,4,0.86,Dimensi,46.0,0.031,110
2025-03-06 23:00,Malam,M01,0,Tidak ada,-,405,7,1.73,Finishing,59.1,0.041,110
2025-03-07 07:00,Pagi,M01,0,Tidak ada,-,525,5,0.95,Retak,45.7,0.025,116
2025-03-07 15:00,Siang,M01,0,Tidak ada,-,473,4,0.85,Dimensi,47.0,0.026,110
2025-03-07 23:00,Malam,M01,25,Teknis,Overheat,367,12,3.27,Dimensi,61.0,0.068,110
